Semente;Eixo Menor;Eixo Maior;Razao;Area;Perimetro
2;8.314124671;24.28568291;2.921015005;131.5;54.384776
3;6.665233792;24.5096579;3.677239039;101;51.79898953
4;8.346728057;22.47664932;2.692869489;122;52.28427076
5;8.870837235;26.050358;2.936629013;150;60.28427076
6;8.332727612;24.95050151;2.994277825;135;56.28427076
7;8.908431636;26.58540037;2.98429639;159;58.76955199
8;9.217957338;22.15452418;2.403409277;135;50.97056246
9;8.25518334;25.23522401;3.056894435;130.5;56.384776
10;7.868472543;23.56000897;2.994229037;120;52.62741661
11;8.32491089;25.26127558;3.034419937;137.5;56.87005723
12;8.800859269;24.37623134;2.769755838;144;54.76955199
13;8.899736245;25.06908131;2.816834187;146;57.45584369
14;7.299368236;22.16636495;3.036751159;103.5;48.52691138
15;8.317826787;28.75790197;3.457381683;152;64.28427076
16;8.143410094;22.65928583;2.782530361;116.5;52.384776
17;8.513284621;21.11944652;2.48076359;117;48.28427076
18;8.216354404;23.40140861;2.848149856;125.5;52.52691138
19;8.294165661;24.39395015;2.941097532;131.5;54.87005723
20;8.14961478;24.77351014;3.039838178;128;54.97056246
21;8.260013057;27.29406669;3.304361204;145;58.97056246
22;7.818659597;28.02213496;3.584007541;140.5;61.21320307
23;7.069489786;22.64374562;3.203024023;102.5;48.52691138
24;8.551047008;26.50281538;3.09936495;149;58.62741661
25;8.443822582;25.10684046;2.973397441;137;56.28427076
26;8.738199152;25.72511501;2.943983602;150;56.76955199
27;8.134312726;24.09113055;2.961667613;124;55.45584369
28;8.298989806;22.38058661;2.696784444;122;50.28427076
29;7.591797335;22.4906891;2.962498616;110;50.28427076
30;8.379955141;23.9068863;2.852865665;129.5;54.87005723
31;8.287210816;22.85312035;2.757637142;123;51.94112492
32;8.369205853;26.12481491;3.121540486;144;57.94112492
33;8.004667633;23.45456574;2.930111132;122;51.94112492
34;7.618456773;25.75316753;3.380365381;127;56.62741661
35;7.464517907;20.31760222;2.721890746;98;45.45584369
36;7.981423343;23.08761802;2.892669268;119;50.76955199
37;8.268527909;25.2532215;3.054137542;134.5;56.87005723
38;8.146815948;23.742544;2.914334158;125;52.62741661
39;9.092311162;24.52484027;2.697316428;148;55.94112492
40;7.907129755;22.91471474;2.897981373;117.5;50.52691138
41;8.097491975;28.10309757;3.470592828;147;60.62741661
42;8.189771262;25.70712471;3.138930733;137;56.14213538
43;8.589911491;24.64737341;2.869339624;138.5;56.04163015
44;7.806293747;24.01382059;3.07621278;121;52.14213538
45;8.36098971;26.20607202;3.134326549;145;57.94112492
46;7.644993116;26.00572651;3.401667747;129.5;57.01219261
47;8.236239467;23.65497997;2.872060734;123.5;54.87005723
48;8.330654101;23.96836402;2.877128702;128;54.28427076
49;6.560913265;21.45534502;3.270176598;85.5;48.04163015
50;9.036599306;24.09389517;2.666256891;143.5;55.35533845
51;8.029376895;27.45202243;3.418948045;144.5;59.35533845
52;8.641034878;25.44466427;2.94463159;147.5;55.35533845
53;8.452976652;23.91993768;2.829765025;130;55.45584369
54;6.971968199;23.28923652;3.340410606;102.5;50.52691138
55;7.892419228;23.16246358;2.934773599;117.5;52.87005723
56;8.034885011;20.87008787;2.597434542;109;47.11269784
57;8.667226197;23.2589996;2.683557469;130;53.45584369
58;7.108462295;25.14721443;3.537644766;110;53.31370831
59;7.114171386;24.05057635;3.38065743;111.5;52.52691138
60;8.367566201;22.39963282;2.67695914;124;49.11269784
61;8.507406047;22.54995775;2.650626716;124;50.14213538
62;8.61341975;22.91847274;2.660786704;129;51.94112492
63;7.176274409;24.97009181;3.479534141;115;55.11269784
64;8.799302859;27.39402489;3.113204004;159;61.11269784
65;8.489772064;25.38840226;2.990469246;141;55.94112492
66;8.148987039;21.57662526;2.647767773;115.5;48.52691138
67;7.560662073;22.60866235;2.990301924;111;50.28427076
68;7.735404897;24.51002458;3.168550956;124.5;54.52691138
70;7.8230034;23.13010252;2.95667806;115.5;52.04163015
71;8.026044954;21.8544407;2.722940231;110.5;48.87005723
72;8.230094931;24.29983051;2.952557742;129;53.79898953
73;8.567756518;25.16160501;2.936778719;142;57.11269784
74;8.924661814;23.79316132;2.666001448;140;54.62741661
75;8.048905676;26.04710309;3.236104899;130;56.76955199
76;8.845531459;24.37862727;2.756038727;140.5;55.21320307
77;8.086234231;25.62626444;3.169122203;133;57.11269784
78;8.232341241;25.59888312;3.109550779;139;55.94112492
79;7.784383061;24.49412627;3.146572577;123.5;53.6984843
80;8.299382453;25.33229642;3.052311007;140.5;54.18376553
81;8.24102109;22.45117348;2.724319381;119;51.94112492
82;7.416707036;23.32252377;3.144592831;110;51.94112492
83;8.860079024;24.84705284;2.804382757;144;57.11269784
84;7.301256453;23.28807518;3.189598302;108.5;52.04163015
85;7.86755781;23.21319064;2.950495084;116.5;51.6984843
86;8.50264599;24.94162279;2.933395418;141.5;54.18376553
87;8.42335975;25.70586086;3.051734892;142.5;56.52691138
89;7.519328076;25.08574623;3.336168601;121;55.11269784
90;9.071272441;23.14381828;2.551330967;135.5;54.384776
91;8.366190478;24.16852118;2.888832288;132.5;53.55634892
92;7.059115411;23.21171372;3.288190145;102;49.31370831
93;8.292739115;26.84284834;3.236909779;146;59.45584369
94;7.635384103;25.04190127;3.279717291;124;55.11269784
95;7.940139141;25.83718968;3.253997093;130.5;57.6984843
96;8.323588566;26.94677865;3.237399162;146.5;60.52691138
97;8.232960836;26.40480194;3.207206067;140;59.11269784
98;8.359620029;25.18464072;3.01265376;134.5;56.87005723
99;8.133411971;24.27908022;2.985103952;129;54.28427076
100;8.787812477;25.34020292;2.88356209;147;57.45584369
101;8.845844482;25.63834466;2.898349017;148;57.79898953
102;8.703979023;22.75464425;2.614280685;128.5;51.55634892
103;8.707545407;27.01493605;3.102474324;158.5;59.84061968
104;8.053539643;23.80420412;2.955744329;124.5;53.6984843
105;9.084144421;23.42163331;2.57829821;140.5;53.6984843
106;8.239242549;25.54738863;3.100696269;138.5;55.35533845
107;8.151068654;25.03388138;3.071239177;131.5;56.04163015
108;7.115274195;27.17576968;3.819356631;126.5;58.52691138
