Semente;Eixo Menor;Eixo Maior;Razao;Area;Perimetro
1;8.497121452;26.84816661;3.15967787;153;58.76955199
2;8.55151136;26.75271788;3.128419849;148;61.45584369
3;8.326980695;28.0308236;3.366264992;151.5;62.04163015
4;8.006918017;27.42282415;3.424891337;146;59.59797907
5;9.246141688;28.14887719;3.04439172;169;64.28427076
6;8.077619089;25.98936226;3.217453307;136;57.94112492
7;8.331512144;26.36161021;3.164084713;142;59.45584369
8;7.529934842;26.44514998;3.512002499;128;58.28427076
9;9.266659367;23.02957789;2.485208204;140.5;54.04163015
10;8.365633079;24.67793667;2.949918606;137;54.76955199
11;7.841105227;26.28261438;3.351901757;133.5;58.04163015
12;7.428239379;24.22351192;3.261003137;114.5;52.52691138
13;8.355212127;26.91565965;3.22142146;146;59.94112492
14;8.251286968;26.3995367;3.199444741;142.5;59.35533845
15;6.938352673;24.49271691;3.530047846;108.5;53.21320307
16;8.392941685;27.68056789;3.298076995;154.5;61.01219261
17;8.179312982;26.06640661;3.186869932;138;57.79898953
18;8.160709756;28.56572759;3.500397446;147.5;62.384776
19;7.972000995;25.55723816;3.205874933;131.5;57.6984843
20;7.95040919;27.42910048;3.450023744;140;60.28427076
21;7.562159445;24.92504223;3.29602178;123.5;53.35533845
22;8.349591266;29.05043207;3.479263971;160;64.76955199
23;8.173581841;26.58388104;3.252415105;141.5;58.384776
24;7.157167737;25.25755942;3.52898805;117;54.28427076
25;7.954223656;28.69967545;3.608105164;149;63.11269784
26;8.19292518;27.021001;3.29808956;145.5;60.52691138
27;7.297925916;24.57320691;3.367149405;117.5;52.18376553
28;8.133199008;27.11195578;3.33349224;144.5;59.6984843
29;7.235976996;23.94448611;3.309088203;109.5;53.6984843
30;8.212347155;27.28718835;3.322702734;147.5;60.52691138
31;8.390770737;28.85287041;3.438643637;160.5;63.35533845
32;8.627543193;29.95118034;3.47157698;161;63.79898953
33;8.870446012;26.58296169;2.996801024;154.5;59.6984843
34;7.952426559;28.17503765;3.542948488;145.5;61.01219261
36;8.084152361;27.48545337;3.399917782;144.5;60.52691138
37;17.07739135;26.5697357;1.555842761;149.5;60.18376553
38;7.036259799;28.63512351;4.069651252;131;61.11269784
39;15.80379277;27.16848264;1.719111547;147.5;59.84061968
40;20.91289886;26.74160843;1.278713612;159;62.42640615
41;7.902286889;25.06767495;3.172205123;127.5;56.04163015
43;8.05268295;27.79758845;3.451966087;140.5;60.384776
44;19.46558118;25.04051465;1.286399538;157;59.59797907
45;14.82273712;26.0030569;1.754268236;152;60.28427076
46;8.182101904;27.59449998;3.372544159;146.5;60.52691138
47;12.16925973;27.50737933;2.260398738;143;60.28427076
48;8.130632881;28.39633728;3.492512538;153;62.42640615
