Semente;Eixo Menor;Eixo Maior;Razao;Area;Perimetro
1;8.721190533;27.26853793;3.126699024;157.5;60.52691138
2;7.713741681;25.65913026;3.32641814;128.5;56.52691138
3;7.771173037;27.62575468;3.554901499;139.5;60.04163015
4;7.677664246;29.92798171;3.898058152;150.5;64.04163015
5;7.073863433;26.59569137;3.759712302;122;58.28427076
6;9.156798557;25.32080862;2.765246878;134.5;56.18376553
7;7.553458853;25.58322535;3.386955016;127.5;56.18376553
8;8.008448007;28.77064533;3.592536944;152;63.59797907
9;12.05344936;27.48008362;2.279852247;154;61.11269784
10;8.092853968;25.85152167;3.194364037;137;57.94112492
11;8.041097013;24.45821575;3.041651619;125.5;53.55634892
12;7.10236545;26.77470305;3.769828973;125.5;57.01219261
13;9.954752531;27.95622744;2.808329726;142;59.59797907
14;7.651902061;27.59495872;3.606287495;137.5;60.04163015
15;7.153709497;28.39692297;3.969538179;128.5;60.384776
16;8.359112304;27.96421785;3.345357357;150;62.28427076
17;7.599594489;23.56408695;3.1007032;118;50.76955199
18;8.054589908;28.70290616;3.56354656;152;61.59797907
19;7.827140255;28.55650801;3.648396104;148.5;61.01219261
20;7.637735297;29.71314374;3.890308133;150;63.59797907
21;9.00088548;28.32127609;3.146498881;168;63.45584369
22;6.878799769;24.52980282;3.566000413;105.5;53.21320307
23;7.523724636;23.0068792;3.05791085;110.5;51.21320307
24;7.6811359;27.12522399;3.531407899;136;59.94112492
25;6.711722852;26.32196509;3.921789631;112;56.97056246
26;11.8531403;31.32691414;2.642921062;166;67.11269784
27;7.409827475;28.34437535;3.825240931;135;59.79898953
28;10.00090411;26.3514633;2.634908106;140;57.45584369
29;8.108245087;28.12602905;3.468818314;151.5;59.01219261
30;8.345123413;26.33388797;3.155601981;142;58.14213538
31;7.71678904;25.90690504;3.357213073;131;54.42640615
32;8.422126709;26.39694838;3.134237858;143;59.11269784
33;16.59938669;27.45009469;1.65368126;150.5;62.18376553
34;7.981689384;23.35567175;2.926156434;122;52.28427076
35;8.269722851;27.83537767;3.365938396;151;61.11269784
36;8.267427566;26.47885386;3.202792362;144;57.94112492
37;8.385314439;28.8273758;3.437840764;159.5;62.384776
38;7.892718578;30.14481406;3.81931951;156;65.11269784
39;8.133007676;23.11460018;2.842072835;120.5;52.87005723
40;8.289517077;25.80076803;3.112457311;138;57.11269784
41;7.068733461;25.11169782;3.55250314;114.5;55.6984843
42;8.752167515;28.84151116;3.295356392;166;63.94112492
43;6.971044722;26.74423392;3.8364743;120;57.94112492
44;8.31435761;28.90392832;3.476387434;158.5;63.35533845
45;7.993083773;26.24752251;3.283779234;136;59.11269784
46;7.957842942;26.39898424;3.317354266;138;56.42640615
47;8.099700669;25.09157799;3.097840157;132;54.14213538
48;7.796190771;25.36074651;3.252966385;128;57.11269784
49;8.346364682;29.055339;3.481196916;160;63.45584369
50;8.467318718;27.01698787;3.190737088;149.5;59.6984843
51;8.15570531;30.71068681;3.765546404;163;67.45584369
52;7.993055522;27.9782762;3.500323015;142;61.94112492
53;7.6703393;28.54539417;3.721529525;142.5;62.52691138
54;10.65699259;29.62589082;2.779948525;175.5;63.84061968
55;7.400906284;28.2259299;3.813847767;134.5;60.384776
56;8.653042794;27.30529567;3.155571551;151;60.97056246
57;8.366610627;27.72234156;3.313449472;154;60.76955199
58;8.58153824;29.54232238;3.44254393;170.5;63.84061968
59;8.308942458;26.24503022;3.158648691;144.5;57.01219261
60;8.158194156;27.51807035;3.373059015;146;61.11269784
61;8.222378766;27.32873799;3.323702151;147;60.28427076
62;8.019192005;23.71268726;2.956992081;126;51.94112492
63;8.151008778;29.72916941;3.647299398;158;64.76955199
64;8.346220124;25.20436434;3.019853774;135.5;55.55634892
65;7.102952714;25.60816277;3.605284141;117.5;55.21320307
66;8.616306494;25.6376541;2.975480749;141;56.97056246
67;8.121072905;27.22361771;3.352219346;145;59.94112492
68;8.75437135;26.6033785;3.038867948;155.5;59.84061968
69;6.948977705;23.92982823;3.443647289;106.5;52.87005723
70;7.613013283;26.38808664;3.46618161;127.5;57.21320307
71;6.716453505;27.07714912;4.031465282;117;58.28427076
72;7.821906649;25.38377005;3.245215161;129.5;54.18376553
73;8.193165825;28.29754519;3.453798665;149.5;62.384776
74;14.39265391;24.45475382;1.699113587;126.5;55.35533845
75;8.061263148;28.58588461;3.546080072;153;61.59797907
76;6.509422172;23.31489507;3.581715005;96;50.28427076
77;8.654741589;27.65052535;3.194841241;152.5;61.55634892
78;9.092161881;28.90464088;3.179072398;172.5;64.87005723
79;8.222027393;26.65621633;3.242049078;147.5;57.01219261
80;7.505452299;28.18975865;3.755904044;136;59.31370831
81;8.447215571;26.71212111;3.162239781;147.5;58.384776
82;7.460185087;28.04690363;3.75954528;137.5;60.52691138
83;7.430127722;24.61673094;3.313096606;118;54.28427076
84;8.324598527;29.17628837;3.504828284;162;63.59797907
85;8.416703976;28.81969377;3.424106854;157;65.11269784
86;7.904802209;27.69751438;3.503884556;145;59.59797907
