Semente;Eixo Menor;Eixo Maior;Razao;Area;Perimetro
1;7.997797189;29.19366041;3.650212642;150.5;61.55634892
2;8.178038924;22.07904799;2.699797372;116;50.62741661
3;7.300256575;28.77941679;3.942247302;138;61.94112492
4;7.628232543;28.84729598;3.78164874;145;62.42640615
5;8.3959832;29.7599254;3.544543229;166.5;65.35533845
6;8.215164087;22.49918309;2.738738125;120.5;50.384776
7;7.333576475;24.54234951;3.346573067;112.5;54.87005723
8;8.37948612;26.32075486;3.141094153;142.5;57.55634892
9;8.854686813;28.41690179;3.209249789;165.5;63.21320307
10;6.863735457;24.15744197;3.519576493;104;52.14213538
11;7.465624768;23.85433109;3.195222347;115.5;51.35533845
12;7.921333894;27.3198527;3.448895484;142;60.76955199
13;7.569665518;24.47523823;3.233331535;119.5;53.55634892
14;7.485949478;28.77874614;3.844368203;142.5;61.01219261
15;8.612736541;25.11857184;2.916444933;142.5;56.87005723
16;8.637626585;27.30594085;3.161278226;154;60.14213538
17;7.459671319;22.40074338;3.002912919;106.5;49.55634892
18;8.661428316;27.45058588;3.169290892;153.5;62.04163015
19;8.375247728;27.39185834;3.27057291;150.5;60.18376553
20;7.858560017;25.76588026;3.278702486;132.5;57.35533845
21;8.412947471;24.9618592;2.967076555;138;54.97056246
22;8.483762184;27.02998669;3.186084912;149;58.97056246
23;7.379809582;23.01124579;3.118135439;110;49.11269784
24;9.053398826;28.51095959;3.149199559;155.5;63.35533845
25;7.273654682;28.71160552;3.947342398;137.5;62.18376553
26;7.986387958;27.42675736;3.434187959;142.5;60.87005723
27;8.872653944;23.82527335;2.685247672;142;52.76955199
28;10.31349949;26.72467085;2.59123209;159;58.42640615
29;8.455272005;30.5093752;3.608325692;169.5;67.6984843
30;8.550227281;24.89153346;2.911213075;138;56.62741661
31;8.327128976;25.32525809;3.041295285;140.5;55.84061968
32;8.157324071;26.93723709;3.3022149;142;58.97056246
33;8.090787827;25.33859428;3.131783309;132.5;56.87005723
34;8.33254579;21.13556905;2.536508;113;48.14213538
35;8.064019596;29.09250861;3.607693193;150.5;64.04163015
36;8.190095241;27.81069465;3.395649724;148;61.45584369
37;16.22360534;28.08747858;1.731272303;268.5;95.49747384
38;8.207791113;28.49155937;3.471282221;151.5;61.21320307
39;8.12960392;24.29040313;2.987895028;131;52.76955199
40;7.439046576;25.06120211;3.36887286;124;53.59797907
41;8.390968621;23.79482825;2.835766564;132;53.11269784
42;13.63087921;26.68197925;1.957465754;145.5;58.18376553
43;8.218024736;25.19219831;3.065480954;135.5;55.21320307
44;8.276433526;27.40041924;3.310655387;149.5;60.04163015
45;8.708706898;28.03505899;3.219198822;160.5;61.21320307
46;8.620218139;26.4112442;3.063871908;153;57.59797907
47;12.02487268;22.97171596;1.910350037;114;51.11269784
48;8.093073637;23.99184545;2.964491184;125.5;54.04163015
49;8.444859084;28.19241631;3.338411693;154;63.45584369
