Semente;Eixo Menor;Eixo Maior;Razao;Area;Perimetro
1;7.637000327;28.81268135;3.772774665;142.5;62.18376553
2;8.632718528;30.11004621;3.487898524;174;65.59797907
3;8.691335152;28.06668278;3.229271716;159;63.11269784
4;8.250958602;26.88431361;3.258326081;143.5;60.04163015
5;8.659130623;25.32288926;2.924414744;143;58.28427076
6;7.869695954;23.71053121;3.012890377;117.5;53.21320307
7;8.478274244;27.31353928;3.221591859;149;60.62741661
8;17.62924881;28.39279493;1.610550469;161.5;63.84061968
9;8.549766472;28.7420944;3.361740288;157;62.97056246
10;8.110128304;28.83892131;3.555914312;147;62.14213538
11;8.559501666;27.66071028;3.23157952;156;60.62741661
12;8.710595525;27.34192131;3.138926751;156.5;58.72792184
13;8.096000332;26.75948235;3.305271894;139.5;58.384776
14;9.112194405;29.42266703;3.228933199;176;63.79898953
15;7.984615954;27.05586888;3.388499714;138.5;60.87005723
16;7.889365968;26.18477862;3.318996574;134;56.97056246
17;8.108429605;28.14816101;3.471468877;146.5;62.384776
18;8.865245383;27.99979027;3.158377356;162;63.11269784
19;7.477407927;28.30224766;3.785034592;137;61.45584369
20;7.373509301;23.9141496;3.24325211;114.5;51.35533845
21;8.097167936;28.31029604;3.496320721;149;60.97056246
22;8.178077008;27.9200973;3.414017412;144.5;59.55634892
23;7.597405225;24.38490454;3.209635898;121;53.11269784
24;11.97490829;30.18102661;2.520355552;164.5;65.6984843
25;8.548341255;26.24502812;3.070189565;145.5;58.384776
26;7.259195636;24.70057961;3.402660686;116;53.94112492
27;8.267331687;28.93516665;3.499940216;155;64.76955199
28;7.917742281;27.38269876;3.45839733;140;58.14213538
29;8.265783561;27.33034954;3.306443888;150;59.59797907
30;8.045761911;27.62072981;3.43295391;144;61.11269784
31;10.68822961;26.05119261;2.437372096;135.5;59.35533845
32;7.958303343;27.773974;3.489936586;143;61.45584369
33;7.214532785;26.40086775;3.659400897;123;56.76955199
34;7.74716462;29.03072671;3.74727118;150.5;61.84061968
35;15.92989117;26.21753296;1.645807412;154.5;59.01219261
36;7.914682577;27.12453617;3.427116111;139.5;59.35533845
37;8.061437795;26.37596851;3.271869011;140.5;57.35533845
38;7.558785353;25.04204881;3.312972606;120;54.14213538
39;8.583222444;28.74571839;3.349059001;160.5;65.6984843
40;8.477334929;27.80140288;3.279497993;151;61.79898953
41;7.8832204;28.89940362;3.665938811;150.5;62.18376553
42;8.486763943;27.42203669;3.231153462;153.5;60.18376553
43;7.688788104;27.17141848;3.533901326;136.5;59.35533845
44;7.604217099;26.31672893;3.460807153;130.5;57.35533845
45;8.865464642;26.14637404;2.949238996;151.5;59.84061968
46;16.61954552;27.04477281;1.627287147;162.5;62.66904676
47;13.38418325;22.59520311;1.688201863;121;51.94112492
48;17.48800478;24.29937512;1.389488133;142.5;57.01219261
49;14.16180624;27.70000895;1.95596582;156.5;61.01219261
50;8.55153013;28.95262965;3.385666566;158;62.97056246
51;12.66855884;27.98923036;2.209346045;161.5;62.18376553
52;8.21916499;27.80201123;3.382583421;150;61.45584369
53;6.931897184;27.76555807;4.00547748;123;59.79898953
54;7.338832124;26.88796693;3.663793704;125.5;57.55634892
55;8.410993487;28.30763671;3.36555209;157.5;62.18376553
56;8.679374262;25.12743151;2.895074086;142;57.11269784
57;8.916562971;27.02212827;3.030554302;156.5;59.55634892
58;8.60526924;26.47082369;3.07611801;148.5;60.87005723
59;7.410668424;24.78797339;3.344903857;117.5;53.55634892
60;8.526806845;27.24824265;3.195597501;149;60.62741661
61;7.522188709;27.08585693;3.60079466;131.5;56.72792184
62;8.548451796;26.66734242;3.119552295;150.5;59.6984843
63;8.395045185;25.11083744;2.991149766;135;56.97056246
64;7.801697;27.15329841;3.480434886;135.5;60.87005723
65;8.13923194;26.58740997;3.266574803;139.5;58.87005723
66;8.311548851;27.5154342;3.310506223;146;60.14213538
67;7.16899398;27.26042384;3.802545227;127;59.11269784
68;8.504203215;26.78594021;3.149729555;147.5;59.21320307
69;8.66896577;28.0845829;3.239669373;158;62.62741661
70;7.332076611;25.56985231;3.487395681;120.5;56.52691138
71;8.738233867;27.86183638;3.188497447;155.5;63.35533845
72;8.668845438;29.02648898;3.348368497;165;64.62741661
74;7.526762021;28.77654812;3.823230766;140.5;61.55634892
75;8.884404871;28.08856987;3.161558965;160.5;61.01219261
76;8.151135548;27.09848678;3.324504497;144.5;59.35533845
77;7.961085141;23.22153182;2.916880225;118.5;51.55634892
78;8.376349738;25.35152908;3.02656048;138.5;56.52691138
79;7.014418825;27.3554793;3.89989249;124;58.62741661
80;7.451648123;27.28619118;3.661765924;133;59.11269784
81;11.85125443;26.92885405;2.272236599;142.5;59.35533845
82;7.920013457;25.94653661;3.276072288;134;57.45584369
83;7.976492599;27.87142097;3.494195052;126;59.94112492
84;8.105381178;25.79325257;3.182238072;137.5;57.01219261
85;8.609677928;28.24535554;3.280651817;159;62.62741661
86;7.547017259;24.12081277;3.196072294;115.5;52.87005723
87;7.935949133;29.11949786;3.669315085;150.5;64.04163015
88;7.500689126;27.19860323;3.626147248;131.5;58.87005723
89;7.838340826;26.0986328;3.329611888;132;57.79898953
90;9.198833878;24.35382769;2.64749076;125;53.94112492
91;8.522839982;28.32409718;3.323316787;156.5;60.72792184
92;8.010281972;27.06128685;3.378318884;142;57.59797907
93;7.061587532;23.55081352;3.335059349;104.5;52.04163015
94;7.570118317;27.14396448;3.585672422;132;58.62741661
95;7.829670294;28.01508146;3.57806656;144;58.42640615
96;7.61150497;27.73930814;3.644392042;138;60.28427076
97;7.896318906;25.52405155;3.232398774;131.5;56.52691138
98;8.123803416;26.25816426;3.232250083;139.5;57.01219261
99;8.339961147;24.20508635;2.902302052;130.5;53.55634892
100;8.581179961;28.15859586;3.281436351;159.5;61.01219261
101;7.643562116;26.90861309;3.520428392;133;58.62741661
102;8.10730734;26.18346756;3.229613294;140;57.94112492
103;8.029326857;28.30206495;3.524836572;148.5;62.04163015
104;9.070695962;25.74863167;2.838661089;157.5;57.01219261
105;7.523810361;27.89808845;3.707973369;135.5;61.6984843
106;8.766478607;27.72880916;3.163049886;157.5;62.04163015
