Semente;Eixo Menor;Eixo Maior;Razao;Area;Perimetro
1;8.08778209;26.79483193;3.313001221;139.5;58.384776
2;7.49510219;27.33330183;3.64682177;131;58.97056246
3;7.66113913;26.67161456;3.481416289;129;58.14213538
4;7.982140138;22.42026163;2.808803308;116.5;49.6984843
5;7.812362726;26.54019411;3.397204538;134;56.97056246
6;8.617656894;27.55969937;3.198050202;156;61.45584369
7;8.506890366;25.71728943;3.023112832;144;58.28427076
8;8.858178355;25.18094922;2.842678055;132;55.11269784
9;7.945532527;23.58401417;2.968210638;123;52.28427076
10;8.557075077;26.33811006;3.077933736;149.5;59.35533845
11;8.091164442;23.97861006;2.963554904;128;53.11269784
12;8.065967298;25.45681852;3.156077576;132;54.14213538
13;8.415533096;26.95274207;3.202737338;146.5;60.04163015
14;7.834639455;28.71484762;3.66511411;150;60.42640615
15;7.503214681;27.76330349;3.700187808;135;59.79898953
16;7.639215095;26.24757062;3.435898884;129;55.31370831
17;7.378871695;25.29424496;3.427928551;120;55.79898953
18;8.630127547;29.8640608;3.460442576;171.5;65.6984843
19;7.948150091;25.35635431;3.190220872;129;56.62741661
20;7.102951467;25.72811257;3.622172092;118.5;55.6984843
21;7.585202082;28.4726895;3.753715351;138;60.14213538
22;7.804864332;28.95217098;3.709503426;151;61.25483322
23;7.600456536;30.23940218;3.978629709;148.5;62.72792184
24;14.6573561;25.80792419;1.760748938;146;57.59797907
25;7.777873284;28.97878466;3.725797992;149.5;61.84061968
26;8.033705502;25.79373186;3.210689245;135;56.62741661
27;7.573726792;23.79757986;3.14212283;115;53.45584369
28;8.429592565;25.14478131;2.982917753;131.5;56.04163015
29;7.266421997;28.02429112;3.856683679;134.5;59.01219261
31;7.438412939;24.15191954;3.246918361;115.5;52.87005723
32;8.198739702;28.31854616;3.454012103;153.5;61.84061968
33;8.174921263;22.58732227;2.763001813;119;52.28427076
34;7.742205947;26.85642593;3.468833834;135.5;58.52691138
35;8.045367228;24.29869537;3.020209603;122.5;52.18376553
36;8.382827846;28.10531492;3.352724812;155;61.79898953
37;8.6346761;27.37117183;3.169912979;155;61.94112492
38;7.259218843;25.95533514;3.575499747;123.5;55.01219261
39;8.5416818;29.37391887;3.438891726;163.5;64.384776
40;8.323359912;24.68761581;2.966063714;133.5;56.04163015
42;8.049989402;27.13627574;3.370970369;142;60.28427076
43;8.06080077;27.1450024;3.367531735;144;58.42640615
44;7.719258899;21.56227076;2.793308405;106;46.48528123
45;7.972257062;27.7463369;3.480361544;143;59.79898953
46;12.90718105;24.13536386;1.86991751;120.5;54.52691138
47;8.416537643;26.19082141;3.111828464;143;60.28427076
48;7.682764822;24.93601807;3.245708889;126.5;54.18376553
49;10.73153602;24.7324279;2.304649387;120;53.45584369
50;20.71565197;27.37291993;1.321364153;316.5;98.66904676
52;11.14227972;24.73560405;2.219976942;135;57.45584369
53;8.773909747;27.15040001;3.09444715;154.5;60.384776
54;8.430629954;25.52915312;3.028143005;139.5;58.04163015
55;10.72005468;28.42419465;2.651497171;158.5;61.84061968
56;7.678939606;29.55177658;3.848418935;147;62.97056246
57;7.326681139;23.12522203;3.156302505;109.5;50.52691138
58;8.153457958;26.40646972;3.238683495;141.5;57.35533845
59;7.59406843;26.71009159;3.517230828;131.5;58.52691138
60;8.62436711;28.17569007;3.266986401;129.5;60.04163015
61;7.521126266;26.00320823;3.457355628;125.5;57.6984843
62;8.054105819;23.7662561;2.950824913;122.5;53.21320307
63;8.518445675;28.48463809;3.343877413;163;62.42640615
64;7.655190763;25.89132598;3.382192133;127;57.45584369
65;8.59196849;27.83070359;3.239153359;157;61.79898953
66;15.15012525;28.84130945;1.903701057;167;63.94112492
67;8.485359529;28.48581859;3.357054995;160;63.11269784
68;8.408995267;27.18005195;3.232259157;148.5;60.87005723
69;7.820042;27.76689704;3.550735027;139.5;59.55634892
70;7.485693762;28.04620659;3.746640924;135;60.62741661
71;8.071216309;28.32458869;3.509333364;150.5;62.18376553
