Semente;Eixo Menor;Eixo Maior;Razao;Area;Perimetro
1;8.217286033;25.91774151;3.154051277;136.5;58.04163015
2;8.109054491;27.51004283;3.392509307;145;61.11269784
3;8.458995811;27.67184168;3.271291569;151.5;61.21320307
4;10.75767744;27.78571831;2.582873346;148.5;61.01219261
5;8.16959609;30.65880533;3.752793283;164.5;67.35533845
6;8.086053145;27.03506346;3.343418967;143;58.76955199
7;7.935170067;27.11796459;3.417439621;137.5;59.21320307
8;7.7289279;27.76267835;3.592047786;140.5;60.52691138
9;8.249001085;23.90678384;2.898142889;128.5;53.21320307
10;8.181886547;26.05500044;3.184473446;138;57.94112492
11;17.42105892;25.31465962;1.453106825;143.5;58.18376553
12;7.357517394;26.38600758;3.586265062;127;56.76955199
13;8.848010218;30.22541404;3.41606907;174.5;67.6984843
14;8.036002392;27.53552112;3.426519777;146;59.59797907
15;8.286199302;30.7304217;3.708626909;153.5;67.01219261
16;8.439174555;27.3637678;3.242469701;150.5;60.87005723
17;10.46538627;28.17661843;2.692362966;144;61.11269784
18;7.553603172;26.71427472;3.536626708;127.5;59.6984843
19;9.291652772;28.36070286;3.052277517;155;62.76955199
20;7.924143761;26.48669139;3.342530397;133;61.11269784
21;8.422450891;23.54654049;2.795687478;128;54.62741661
22;12.08408005;27.79958605;2.300513231;134.5;61.6984843
23;8.719669583;27.12250291;3.110496637;142.5;59.21320307
24;8.150125031;27.92374592;3.426173931;148;61.45584369
25;7.369728193;27.84769257;3.778659381;134.5;59.35533845
26;8.279153142;26.26167157;3.172023892;138.5;57.55634892
27;8.148566041;26.24024583;3.220228651;139.5;58.87005723
28;8.505063412;27.00506979;3.175175596;150;58.97056246
29;8.44093554;28.46593896;3.37236777;154.5;64.04163015
30;12.61122266;28.14873822;2.232038794;141.5;60.87005723
31;8.933655316;28.90867922;3.235929549;170.5;64.52691138
32;7.949729028;28.26818127;3.555867272;143;60.97056246
33;7.999948786;28.62553568;3.578214867;147.5;62.52691138
34;8.432532457;25.73214974;3.051532843;141;56.14213538
35;8.112574144;28.37676524;3.497874378;149;62.62741661
36;7.632904383;26.037393;3.411203874;128.5;56.18376553
37;6.73212885;24.98298452;3.711008074;107;53.79898953
38;7.93438136;26.76685467;3.37352762;138;58.62741661
39;8.115220408;27.53645202;3.393185968;142.5;60.384776
40;7.774585654;27.38602671;3.522506269;137;58.97056246
41;7.961541398;26.69102547;3.352494716;135.5;58.87005723
42;8.380996882;28.79755119;3.436053204;158.5;61.55634892
43;7.63558816;24.21289226;3.171057913;121.5;53.35533845
44;8.09818811;26.00257145;3.210912256;135.5;56.384776
45;8.62310562;29.38214825;3.407374274;168.5;63.84061968
46;8.064522386;27.46877879;3.406125927;145.5;60.18376553
47;8.406418008;29.02033723;3.45216443;159;63.94112492
48;11.16801242;28.99597835;2.59634188;154.5;64.52691138
49;8.456246876;26.98013365;3.190556525;151;58.14213538
50;8.487925987;29.51296064;3.477052072;163;65.45584369
51;8.999765649;27.81917115;3.091099505;154;61.94112492
52;8.066449882;27.72952288;3.437636542;145;61.45584369
53;8.272563385;26.24357304;3.172362884;142.5;58.52691138
54;8.199445814;26.24582652;3.200926881;141.5;58.18376553
55;8.004812268;26.59147983;3.321936723;137.5;58.87005723
57;8.537778376;29.30534745;3.432432438;161;64.14213538
58;8.340678521;28.43720108;3.409458956;151.5;62.384776
59;8.258836622;27.58758567;3.340371886;150;60.42640615
60;8.190015844;27.0090205;3.297798321;144.5;58.384776
61;8.021321309;25.68594432;3.20220863;133.5;56.04163015
62;8.087899155;26.77230479;3.310167978;139;59.45584369
63;8.422414514;26.09968317;3.098836221;144.5;57.35533845
64;8.6675716;28.13637602;3.246165975;163.5;61.84061968
65;18.07230858;26.23803182;1.4518362;155;61.59797907
66;7.69449543;26.61839691;3.459407722;132;57.79898953
67;7.146169484;23.86153783;3.339066878;112;51.59797907
68;8.06892865;26.32684115;3.262743084;138;56.97056246
69;7.981644808;27.5913517;3.456850357;143;61.11269784
70;17.93476823;25.12954907;1.40116386;138.5;58.66904676
71;8.213515569;27.19405921;3.31089154;146;59.59797907
72;8.591189503;24.12002981;2.807530878;134.5;53.55634892
73;8.917506882;30.63635793;3.435529497;169;65.25483322
74;10.77055912;22.66477657;2.104326833;119.5;52.87005723
75;8.085364479;26.67085818;3.298658737;138.5;57.55634892
76;8.186388077;26.39700067;3.224499061;140.5;57.55634892
77;7.271783671;24.9783631;3.434970597;120;53.59797907
78;8.171400544;25.10969135;3.072874866;131.5;55.55634892
79;17.96363048;26.96297092;1.500975594;162.5;62.18376553
80;7.792452771;25.85620547;3.318108718;131;56.76955199
81;8.208332691;28.19527245;3.434957318;151.5;62.52691138
82;7.557899341;28.32500045;3.747734545;137.5;62.04163015
83;8.751468145;29.26298014;3.343779541;167.5;65.6984843
84;7.947490124;26.96467376;3.392854012;139;58.14213538
86;7.245742454;26.19839761;3.615695394;119;56.97056246
87;10.07967796;27.6884162;2.746954447;134.5;59.6984843
88;7.730864973;28.88259667;3.736011012;145;63.11269784
89;8.495196604;25.37957142;2.987520196;141.5;56.04163015
