Semente;Eixo Menor;Eixo Maior;Razao;Area;Perimetro
1;8.214792317;28.60782409;3.482476852;154;62.62741661
2;8.586156674;28.43344513;3.311545107;161.5;63.01219261
3;7.716753411;25.94422391;3.362064657;129;57.11269784
4;8.959415635;27.59196129;3.079660819;162.5;61.21320307
5;8.009887277;29.25035223;3.651780758;151;62.97056246
6;8.212950267;28.54490488;3.475596947;158;61.25483322
7;7.980273541;24.99416423;3.131993421;127.5;55.21320307
8;7.597270269;26.11917182;3.437967967;124;56.97056246
9;6.868518379;25.61413896;3.729208768;113.5;55.6984843
10;8.650734445;26.40457284;3.052292613;151.5;58.18376553
11;8.463357477;26.77824011;3.16402092;147;58.97056246
12;8.242251326;27.95435099;3.391591676;152;60.42640615
13;8.328767642;26.10328583;3.134111425;140;56.97056246
14;8.507435993;25.57404954;3.006081923;139;59.45584369
15;8.429425416;24.56289993;2.913947122;135.5;54.384776
16;8.172977282;28.60097674;3.499456288;153.5;62.04163015
17;8.259625492;28.10468205;3.402658156;150;62.62741661
18;8.605898349;28.77186006;3.343272125;164.5;63.01219261
19;8.123187742;25.35868664;3.121765426;135.5;55.35533845
20;7.889108751;25.92633869;3.286345709;131;56.14213538
21;7.450749511;28.62123785;3.841390428;138.5;62.52691138
22;10.05214276;28.3207241;2.817381805;140.5;60.87005723
23;7.102911872;27.67424318;3.896182816;127.5;59.35533845
24;8.394088634;26.77282373;3.189485469;150.5;57.01219261
25;7.953963289;26.42441898;3.322170095;139;57.59797907
26;8.512562061;29.5269073;3.468627552;166;64.42640615
27;8.081817617;25.84644361;3.198097858;135;58.28427076
28;8.446164874;28.5259924;3.377389954;154.5;62.384776
29;13.09630852;30.01046181;2.29152068;172.5;66.52691138
30;7.835605051;24.95786147;3.18518625;127;53.94112492
31;6.974732565;24.81915024;3.558437547;108.5;52.72792184
32;7.927774523;26.60787599;3.356285665;139;57.94112492
33;8.313392885;26.47434211;3.184541194;145;56.76955199
34;17.67010836;26.91315416;1.523089367;155.5;62.18376553
35;8.034395287;26.73554658;3.327636447;142;57.94112492
36;7.829048496;25.47628237;3.254071345;129.5;56.52691138
37;8.330629779;25.48231979;3.058870754;136;56.97056246
38;8.665134981;28.40373314;3.277933143;160.5;64.04163015
39;25.74030716;71.07883561;2.761382573;541;230.6518018
41;7.819125299;25.13930856;3.215104964;124.5;56.04163015
42;7.962017476;27.80264695;3.491909812;144.5;61.01219261
43;8.353295915;28.78382943;3.445805072;154.5;63.21320307
44;8.444784189;29.00399333;3.43454524;159.5;62.384776
45;7.994408679;26.50088602;3.314927605;138.5;58.04163015
46;8.811665039;24.62749052;2.79487366;144;55.94112492
47;7.652978842;23.67208113;3.093185232;117;52.28427076
50;8.308749336;27.91697836;3.359949522;151;62.28427076
51;8.655361782;30.13769889;3.481968709;170;66.76955199
52;7.428580442;24.0960294;3.243692329;115;52.76955199
53;8.138618407;27.52483747;3.382003688;146;61.11269784
55;8.623536689;29.12973643;3.377933844;166;65.11269784
