Semente;Eixo Menor;Eixo Maior;Razao;Area;Perimetro
1;8.515868578;25.77869294;3.02713607;143.5;57.6984843
2;8.052804778;27.52080356;3.417542622;144;59.79898953
3;8.175311765;24.15144608;2.954192669;130.5;53.35533845
4;8.178854097;24.5282211;2.998980152;132;54.28427076
5;8.1550398;22.59027576;2.770100001;118.5;50.384776
6;6.952137945;23.03691108;3.313644128;103.5;50.04163015
7;7.079503296;26.60889512;3.758582206;121;57.79898953
8;8.530336059;30.15636822;3.535191112;170;66.76955199
9;7.772501471;29.08158405;3.741599041;147.5;62.87005723
10;7.924798477;27.31085827;3.446252715;142;59.45584369
11;7.623485693;27.02954339;3.54556229;136.5;57.01219261
12;7.889544726;25.09637317;3.180965954;127.5;54.72792184
13;21.07416133;40.4085005;1.917442876;320;118.9116874
14;8.414979591;28.4486527;3.380715591;161;62.42640615
15;9.829077153;27.83601102;2.832006565;163;62.76955199
16;8.363419633;26.41601575;3.158518514;144;60.28427076
17;7.737941685;25.44715655;3.288620875;128;55.11269784
18;8.077306057;25.13201496;3.111435271;131.5;56.04163015
20;8.115520117;26.19698615;3.228010746;133.5;57.21320307
21;8.055481432;26.42184343;3.279983158;141;56.76955199
22;8.844417451;25.03318833;2.830394253;144;55.31370831
25;7.551115266;24.7882846;3.282731587;119.5;54.87005723
26;7.468837124;24.33804745;3.258612692;114;52.48528123
27;8.40508765;26.29221871;3.128131413;143;59.11269784
28;6.790344326;22.82192972;3.360938506;100;49.11269784
29;7.928073919;22.96718972;2.896944447;119.5;50.52691138
30;8.620713496;28.30655571;3.283551382;159.5;64.18376553
31;11.38005098;25.51071582;2.24170488;141.5;57.6984843
32;13.56538124;23.28167206;1.716256377;117.5;52.18376553
33;8.290204422;27.54974053;3.323167816;149.5;59.55634892
34;7.669492538;23.69346992;3.089313902;118;51.94112492
35;7.484291604;24.43392139;3.264693933;116.5;54.04163015
36;10.38420732;29.33304988;2.824775062;136.5;61.6984843
37;7.367272909;26.05844066;3.537053803;122;55.31370831
38;7.959398921;26.61542801;3.343899241;137.5;59.21320307
39;14.54280373;28.0369465;1.927891418;147;61.45584369
40;14.5694139;25.28011237;1.735149577;143.5;58.52691138
44;8.871619248;29.27760087;3.300141728;174;65.59797907
45;13.72855453;29.31885222;2.135611011;158.5;63.84061968
46;8.212638222;23.44545093;2.85480138;123.5;53.21320307
47;8.283292626;25.48397491;3.076551325;138;56.97056246
48;8.153234246;24.90450393;3.054555184;133;54.14213538
49;9.43285915;27.94318224;2.962323703;150;61.45584369
50;7.723286233;29.68920159;3.844115147;150;63.94112492
51;8.064829513;27.20246218;3.372974237;144;59.45584369
52;12.33407907;26.39670524;2.140143994;150;59.59797907
53;7.851624299;23.81454661;3.03307261;123;52.28427076
55;7.723631374;26.73952228;3.462040196;133.5;58.384776
56;7.931982514;26.00789358;3.27886421;134;56.62741661
57;7.841339283;27.24078748;3.473996787;139;59.45584369
58;11.28221218;28.19308;2.498896453;152;63.11269784
59;8.507044259;26.54829298;3.120742313;147.5;60.52691138
60;7.897185467;24.30702956;3.077935761;124;55.11269784
61;8.232303013;28.0110881;3.402582249;150.5;62.52691138
63;8.468763075;27.46942727;3.243617401;154;60.76955199
64;7.906596833;24.11347344;3.049791706;125.5;52.87005723
65;8.5246583;25.66627772;3.010827744;143.5;58.52691138
66;8.233462919;26.6204851;3.233206411;146;57.59797907
67;7.470617123;28.61057013;3.829746547;138;61.79898953
69;8.314505479;26.62391336;3.202104254;148;57.59797907
70;8.151508077;26.1637763;3.20968538;142.5;56.18376553
71;8.135238767;26.76703612;3.290258207;142.5;58.384776
74;7.642551828;24.08497453;3.151430971;121;51.94112492
75;8.717283856;25.91188532;2.972472361;149;57.79898953
76;7.344376988;23.31017107;3.173879977;107.5;50.72792184
77;8.531613084;23.57659579;2.763439405;130.5;56.18376553
78;8.109232225;26.56936353;3.27643392;137;58.97056246
79;7.809774917;24.99169818;3.20005358;126.5;55.21320307
80;7.017181411;26.43550127;3.767253505;119;56.97056246
81;11.06263234;27.30962699;2.468637315;141;58.62741661
82;7.47720571;24.09069462;3.221884692;114.5;52.384776
83;7.712621958;23.24272747;3.013596102;114.5;51.55634892
84;9.23927282;26.02431964;2.816706482;131.5;57.6984843
85;8.892139557;26.43438608;2.972781288;153.5;59.6984843
86;7.362760945;27.03416899;3.671743412;128.5;59.21320307
87;7.752151702;21.70207181;2.799490082;109;47.94112492
88;9.068687116;22.4602388;2.476680308;134;50.14213538
89;7.682868729;27.22456746;3.543541927;135.5;59.21320307
91;8.350022781;25.29318379;3.029115543;137.5;56.04163015
92;7.26001447;26.7813544;3.688884438;124.5;56.72792184
93;7.500689136;23.28864036;3.104866758;112;50.97056246
94;8.267104301;28.26305893;3.418737433;156;61.59797907
95;8.324405971;27.37396416;3.288398507;148;60.62741661
96;8.304672773;24.52218466;2.952817688;134;54.62741661
97;8.151765402;27.20615749;3.337455894;144;60.62741661
98;7.694971012;29.48288183;3.83144807;144;62.14213538
99;8.762825939;29.05807229;3.316061793;166;64.62741661
100;8.202733935;25.70859183;3.134149179;137.5;56.384776
101;8.73562263;25.21905218;2.886920972;145.5;57.35533845
102;9.624875553;24.38342223;2.533375325;117.5;53.21320307
103;7.766045409;28.05154349;3.612075647;141.5;60.384776
104;9.915317437;25.51880143;2.57367468;152;58.62741661
105;7.466232883;23.88567516;3.19916021;116;52.76955199
106;8.554673422;25.32318518;2.960158025;141.5;55.55634892
